[cfg] {"img_size": 224, "batch_size": 64, "num_workers": 8, "epochs": 60, "lr": 0.0003, "weight_decay": 1e-06, "momentum_base": 0.996, "max_images": null, "save_every": 5, "no_amp": false, "smoke": false}
[env] device=cuda, torch=2.6.0+cu124
[env] GPU=NVIDIA GeForce RTX 3060 Laptop GPU, VRAM=6.4 GB
[data] tong so anh: 112120
[model] trainable params = 12.49 M
[env] AMP = True
  [ep 4 step 800/1751] loss=0.0469
  [ep 4 step 850/1751] loss=0.0473
  [ep 4 step 900/1751] loss=0.0554
  [ep 4 step 950/1751] loss=0.0461
  [ep 4 step 1000/1751] loss=0.0508
  [ep 4 step 1050/1751] loss=0.0509
  [ep 4 step 1100/1751] loss=0.0511
  [ep 4 step 1150/1751] loss=0.0533
  [ep 4 step 1200/1751] loss=0.0529
  [ep 4 step 1250/1751] loss=0.0521
  [ep 4 step 1300/1751] loss=0.0473
  [ep 4 step 1350/1751] loss=0.0473
  [ep 4 step 1400/1751] loss=0.0530
  [ep 4 step 1450/1751] loss=0.0489
  [ep 4 step 1500/1751] loss=0.0421
  [ep 4 step 1550/1751] loss=0.0511
  [ep 4 step 1600/1751] loss=0.0540
  [ep 4 step 1650/1751] loss=0.0578
  [ep 4 step 1700/1751] loss=0.0442
  [ep 4 step 1750/1751] loss=0.0493
[ep 004/60] avg_loss=0.0500 momentum=0.9960 time=9.5min eta=534min
  [ep 5 step 0/1751] loss=0.0468
  [ep 5 step 50/1751] loss=0.0489
  [ep 5 step 100/1751] loss=0.0487
  [ep 5 step 150/1751] loss=0.0505
  [ep 5 step 200/1751] loss=0.0473
  [ep 5 step 250/1751] loss=0.0501
  [ep 5 step 300/1751] loss=0.0567
  [ep 5 step 350/1751] loss=0.0490
  [ep 5 step 400/1751] loss=0.0534
  [ep 5 step 450/1751] loss=0.0571
  [ep 5 step 500/1751] loss=0.0516
  [ep 5 step 550/1751] loss=0.0521
  [ep 5 step 600/1751] loss=0.0572
  [ep 5 step 650/1751] loss=0.0461
  [ep 5 step 700/1751] loss=0.0517
  [ep 5 step 750/1751] loss=0.0514
  [ep 5 step 800/1751] loss=0.0565
  [ep 5 step 850/1751] loss=0.0436
  [ep 5 step 900/1751] loss=0.0491
  [ep 5 step 950/1751] loss=0.0485
  [ep 5 step 1000/1751] loss=0.0544
  [ep 5 step 1050/1751] loss=0.0490
  [ep 5 step 1100/1751] loss=0.0501
  [ep 5 step 1150/1751] loss=0.0470
  [ep 5 step 1200/1751] loss=0.0537
  [ep 5 step 1250/1751] loss=0.0536
  [ep 5 step 1300/1751] loss=0.0497
  [ep 5 step 1350/1751] loss=0.0588
  [ep 5 step 1400/1751] loss=0.0584
  [ep 5 step 1450/1751] loss=0.0487
  [ep 5 step 1500/1751] loss=0.0519
  [ep 5 step 1550/1751] loss=0.0502
  [ep 5 step 1600/1751] loss=0.0492
  [ep 5 step 1650/1751] loss=0.0502
  [ep 5 step 1700/1751] loss=0.0537
  [ep 5 step 1750/1751] loss=0.0525
[ep 005/60] avg_loss=0.0514 momentum=0.9960 time=9.5min eta=525min
[save] backbone -> xray_byol_backbone.pth (44.8 MB)
  [ep 6 step 0/1751] loss=0.0499
  [ep 6 step 50/1751] loss=0.0551
  [ep 6 step 100/1751] loss=0.0582
  [ep 6 step 150/1751] loss=0.0473
  [ep 6 step 200/1751] loss=0.0562
  [ep 6 step 250/1751] loss=0.0504
  [ep 6 step 300/1751] loss=0.0465
  [ep 6 step 350/1751] loss=0.0503
  [ep 6 step 400/1751] loss=0.0498
  [ep 6 step 450/1751] loss=0.0550
  [ep 6 step 500/1751] loss=0.0495
  [ep 6 step 550/1751] loss=0.0525
  [ep 6 step 600/1751] loss=0.0534
  [ep 6 step 650/1751] loss=0.0522
  [ep 6 step 700/1751] loss=0.0526
  [ep 6 step 750/1751] loss=0.0509
  [ep 6 step 800/1751] loss=0.0438
  [ep 6 step 850/1751] loss=0.0481
  [ep 6 step 900/1751] loss=0.0482
  [ep 6 step 950/1751] loss=0.0395
  [ep 6 step 1000/1751] loss=0.0507
  [ep 6 step 1050/1751] loss=0.0435
  [ep 6 step 1100/1751] loss=0.0423
  [ep 6 step 1150/1751] loss=0.0462
  [ep 6 step 1200/1751] loss=0.0441
  [ep 6 step 1250/1751] loss=0.0453
  [ep 6 step 1300/1751] loss=0.0458
  [ep 6 step 1350/1751] loss=0.0496
  [ep 6 step 1400/1751] loss=0.0493
  [ep 6 step 1450/1751] loss=0.0475
  [ep 6 step 1500/1751] loss=0.0477
  [ep 6 step 1550/1751] loss=0.0463
  [ep 6 step 1600/1751] loss=0.0463
  [ep 6 step 1650/1751] loss=0.0373
  [ep 6 step 1700/1751] loss=0.0519
  [ep 6 step 1750/1751] loss=0.0473
[ep 006/60] avg_loss=0.0492 momentum=0.9961 time=10.2min eta=552min
  [ep 7 step 0/1751] loss=0.0510
  [ep 7 step 50/1751] loss=0.0440
  [ep 7 step 100/1751] loss=0.0431
  [ep 7 step 150/1751] loss=0.0605
  [ep 7 step 200/1751] loss=0.0518
  [ep 7 step 250/1751] loss=0.0437
  [ep 7 step 300/1751] loss=0.0467
  [ep 7 step 350/1751] loss=0.0449
  [ep 7 step 400/1751] loss=0.0533
  [ep 7 step 450/1751] loss=0.0428
  [ep 7 step 500/1751] loss=0.0501
  [ep 7 step 550/1751] loss=0.0482
  [ep 7 step 600/1751] loss=0.0497
  [ep 7 step 650/1751] loss=0.0493
  [ep 7 step 700/1751] loss=0.0609
  [ep 7 step 750/1751] loss=0.0499
  [ep 7 step 800/1751] loss=0.0482
  [ep 7 step 850/1751] loss=0.0525
  [ep 7 step 900/1751] loss=0.0529
  [ep 7 step 950/1751] loss=0.0485
  [ep 7 step 1000/1751] loss=0.0412
  [ep 7 step 1050/1751] loss=0.0456
  [ep 7 step 1100/1751] loss=0.0484
  [ep 7 step 1150/1751] loss=0.0511
  [ep 7 step 1200/1751] loss=0.0535
  [ep 7 step 1250/1751] loss=0.0491
  [ep 7 step 1300/1751] loss=0.0532
  [ep 7 step 1350/1751] loss=0.0547
  [ep 7 step 1400/1751] loss=0.0483
  [ep 7 step 1450/1751] loss=0.0486
  [ep 7 step 1500/1751] loss=0.0436
  [ep 7 step 1550/1751] loss=0.0461
  [ep 7 step 1600/1751] loss=0.0459
  [ep 7 step 1650/1751] loss=0.0493
  [ep 7 step 1700/1751] loss=0.0439
  [ep 7 step 1750/1751] loss=0.0520
[ep 007/60] avg_loss=0.0486 momentum=0.9961 time=10.0min eta=531min
[save] backbone -> xray_byol_backbone.pth (44.8 MB)
  [ep 8 step 0/1751] loss=0.0455
  [ep 8 step 50/1751] loss=0.0482
  [ep 8 step 100/1751] loss=0.0482
  [ep 8 step 150/1751] loss=0.0478
  [ep 8 step 200/1751] loss=0.0528
  [ep 8 step 250/1751] loss=0.0416
  [ep 8 step 300/1751] loss=0.0453
  [ep 8 step 350/1751] loss=0.0439
  [ep 8 step 400/1751] loss=0.0523
  [ep 8 step 450/1751] loss=0.0498
  [ep 8 step 500/1751] loss=0.0470
  [ep 8 step 550/1751] loss=0.0584
  [ep 8 step 600/1751] loss=0.0428
  [ep 8 step 650/1751] loss=0.0405
  [ep 8 step 700/1751] loss=0.0444
  [ep 8 step 750/1751] loss=0.0507
  [ep 8 step 800/1751] loss=0.0474
  [ep 8 step 850/1751] loss=0.0419
  [ep 8 step 900/1751] loss=0.0500
  [ep 8 step 950/1751] loss=0.0513
  [ep 8 step 1000/1751] loss=0.0463
  [ep 8 step 1050/1751] loss=0.0522
  [ep 8 step 1100/1751] loss=0.0501
  [ep 8 step 1150/1751] loss=0.0441
  [ep 8 step 1200/1751] loss=0.0537
  [ep 8 step 1250/1751] loss=0.0466
  [ep 8 step 1300/1751] loss=0.0432
  [ep 8 step 1350/1751] loss=0.0428
  [ep 8 step 1400/1751] loss=0.0477
  [ep 8 step 1450/1751] loss=0.0477
  [ep 8 step 1500/1751] loss=0.0390
  [ep 8 step 1550/1751] loss=0.0493
  [ep 8 step 1600/1751] loss=0.0403
  [ep 8 step 1650/1751] loss=0.0466
  [ep 8 step 1700/1751] loss=0.0452
  [ep 8 step 1750/1751] loss=0.0513
[ep 008/60] avg_loss=0.0468 momentum=0.9961 time=10.4min eta=540min
[save] backbone -> xray_byol_backbone.pth (44.8 MB)
  [ep 9 step 0/1751] loss=0.0513
  [ep 9 step 50/1751] loss=0.0508
  [ep 9 step 100/1751] loss=0.0454
  [ep 9 step 150/1751] loss=0.0397
  [ep 9 step 200/1751] loss=0.0460
  [ep 9 step 250/1751] loss=0.0382
  [ep 9 step 300/1751] loss=0.0492
  [ep 9 step 350/1751] loss=0.0430
  [ep 9 step 400/1751] loss=0.0500
  [ep 9 step 450/1751] loss=0.0516
  [ep 9 step 500/1751] loss=0.0439
  [ep 9 step 550/1751] loss=0.0491
  [ep 9 step 600/1751] loss=0.0416
  [ep 9 step 650/1751] loss=0.0412
  [ep 9 step 700/1751] loss=0.0463
  [ep 9 step 750/1751] loss=0.0450
  [ep 9 step 800/1751] loss=0.0440
